Building,Complete Target,Completion Status,Country,County,Description,Months,Operational Unit,Post,Raised Date,Region,Short Description,WO Complete,WO Number,WO Status,Work Type,2022,2023,Amount or Number,p.Choose Year
Hattusa,7/3/2022 13:50,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Mar,Home Office,CW3,2/3/2022 13:50,West,Confidential Waste,2/3/2022 16:17,GEM:1613,WRKCOM,COMPLAINT,312,332.28,312,312
Persepolis,8/3/2022 14:17,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Mar,Prosecution,CB1,3/3/2022 14:17,East,Security,3/3/2022 15:30,GEM:1615,WRKCOM,COMPLAINT,312,332.28,312,312
Masada,10/3/2022 14:42,Closed,United Kingdom,Herefordshire,Work order completed with documents/costs,22-Mar,Prosecution,B47,7/3/2022 14:42,West,Security,23/03/2022 12:00:00,GEM:1618,WRKCOM,COMPLAINT,312,332.28,312,312
Masada,10/3/2022 16:55,Closed,United Kingdom,Herefordshire,Work order completed with documents/costs,22-Mar,Prosecution,B47,7/3/2022 16:55,West,Security,8/3/2022 7:38,GEM:1619,WRKCOM,COMPLAINT,312,332.28,312,312
Jokhang,14/03/2022 13:54:00,Closed,United Kingdom,Kent,Work order completed with documents/costs,22-Mar,Prosecution,BR6,9/3/2022 13:54,East,Security,9/3/2022 14:26,GEM:1620,WRKCOM,COMPLAINT,312,332.28,312,312
Prime House,14/03/2022 14:41:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-Mar,Prosecution,CB1,9/3/2022 14:41,East,Security,10/3/2022 7:34,GEM:1621,WRKCOM,COMPLAINT,312,332.28,312,312
New Cut House,16/03/2022 09:42:00,Closed,United Kingdom,Surrey,Compliment/Complaint Closed,22-Mar,Prosecution,CR3,11/3/2022 9:42,South,Security,15/03/2022 08:58:17,GEM:1623,CCLOSED,COMPLAINT,312,332.28,312,312
New World Place,16/03/2022 16:29:00,Closed,United Kingdom,Somerset,Compliment/Complaint Closed,22-Mar,Prosecution,BA3,11/3/2022 16:29,West,Security,15/03/2022 08:39:32,GEM:1624,CCLOSED,COMPLAINT,312,332.28,312,312
Keezhadi excavation site,16/03/2022 23:59:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Mar,Prosecution,CW3,13/03/2022 04:01:00,West,Security,14/03/2022 12:00:00,GEM:1625,WRKCOM,COMPLAINT,312,332.28,312,312
Red Pyramid,16/03/2022 23:59:00,Closed,United Kingdom,Gloucestershire,Compliment/Complaint Closed,22-Mar,Border Force,GL1,13/03/2022 11:41:00,West,Security,14/03/2022 11:25:00,GEMH:287,CCLOSED,COMPLAINT,312,332.28,312,312
Caral,17/03/2022 10:48:00,Closed,United Kingdom,Derbyshire,Work order completed with documents/costs,22-Mar,Prosecution,DE4,14/03/2022 10:48:00,West,Security,28/03/2022 08:46:27,GEM:1626,WRKCOM,COMPLAINT,312,332.28,312,312
Massive Heights,21/03/2022 15:18:00,Closed,United Kingdom,Shropshire,Compliment/Complaint Closed,22-Mar,Prosecution,CW3,16/03/2022 15:18:41,West,Security,18/03/2022 12:51:21,GEM:1628,CCLOSED,COMPLAINT,312,332.28,312,312
Egypt Place,23/03/2022 14:04:00,Closed,United Kingdom,Devon,Compliment/Complaint Closed,22-Mar,Border Force,DT7,18/03/2022 14:04:00,West,Security,21/03/2022 10:52:00,GEMH:288,CCLOSED,COMPLAINT,312,332.28,312,312
Egypt Place,23/03/2022 17:51:00,Closed,United Kingdom,Devon,Compliment/Complaint Closed,22-Mar,Home Office,DT7,18/03/2022 17:51:00,West,Security,21/03/2022 10:59:00,GEMH:289,CCLOSED,COMPLAINT,312,332.28,312,312
Famouse House,24/03/2022 20:49:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Mar,Prosecution,BD23,21/03/2022 20:49:00,West,Security,22/03/2022 09:00:00,GEM:1629,WRKCOM,COMPLAINT,312,332.28,312,312
Tarxien Temples,24/03/2022 21:22:00,Closed,United Kingdom,Merseyside,Work order completed with documents/costs,22-Mar,Prosecution,CH25,21/03/2022 21:22:00,West,Security,23/03/2022 16:40:00,GEM:1630,WRKCOM,COMPLAINT,312,332.28,312,312
Harappa,30/03/2022 09:32:00,Closed,United Kingdom,Greater Manchester,Work order completed with documents/costs,22-Mar,Prosecution,BL0,25/03/2022 09:32:00,West,Security,28/03/2022 07:40:00,GEM:1632,WRKCOM,COMPLAINT,312,332.28,312,312
Harappa,30/03/2022 15:13:00,Closed,United Kingdom,Greater Manchester,Compliment/Complaint Closed,22-Mar,Prosecution,BL0,25/03/2022 15:13:00,West,Security,29/03/2022 07:45:25,GEM:1633,CCLOSED,COMPLAINT,312,332.28,312,312
Persepolis,31/03/2022 11:32:00,Closed,United Kingdom,Essex,Compliment/Complaint Raised,22-Mar,Prosecution,CB1,28/03/2022 11:32:00,East,Security,12/7/2022 9:02,GEM:1635,CRAISED,COMPLAINT,312,332.28,312,312
Caral,7/4/2022 12:43,Closed,United Kingdom,Derbyshire,Work order completed with documents/costs,22-Apr,MoJ,DE4,4/4/2022 12:43,West,Security,4/4/2022 13:24,GEM:1636,WRKCOM,COMPLAINT,312,332.28,312,312
Newton Place,14/04/2022 15:35:00,Closed,United Kingdom,East Sussex,Compliment/Complaint Closed,22-Apr,MoJ,BN1,11/4/2022 15:35,South,Security,13/04/2022 09:04:26,GEM:1638,CCLOSED,COMPLAINT,312,332.28,312,312
Skara Brae,19/04/2022 20:54:00,Closed,United Kingdom,Lincolnshire,Work order completed with documents/costs,22-Apr,MoJ,DN17,14/04/2022 20:54:00,East,Security,19/04/2022 07:46:00,GEM:1640,WRKCOM,COMPLAINT,312,332.28,312,312
Scotland House,25/04/2022 09:32:00,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-Apr,MoJ,BB1,20/04/2022 09:32:00,West,Security,21/04/2022 07:30:00,GEM:1641,WRKCOM,COMPLAINT,312,332.28,312,312
Rambo Heights,25/04/2022 15:49:00,Closed,United Kingdom,Somerset,Work order completed with documents/costs,22-Apr,MoJ,BA3,20/04/2022 15:49:00,West,Security,20/04/2022 16:53:00,GEM:1642,WRKCOM,COMPLAINT,312,332.28,312,312
The Shard,27/04/2022 14:15:00,Closed,United Kingdom,Cornwall,Work order completed with documents/costs,22-Apr,DoE,EX22,22/04/2022 14:15:00,West,Security,25/04/2022 09:45:17,GEM:1643,WRKCOM,COMPLAINT,312,332.28,312,312
Famouse House,2/5/2022 11:54,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Apr,MoJ,BD23,27/04/2022 11:54:00,West,Security,29/04/2022 12:20:31,GEM:1645,WRKCOM,COMPLAINT,312,332.28,312,312
Scotland House,2/5/2022 12:06,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-Apr,MoJ,BB1,27/04/2022 12:06:00,West,Security,28/04/2022 10:17:02,GEM:1646,WRKCOM,COMPLAINT,312,332.28,312,312
Famouse House,2/5/2022 13:08,Closed,United Kingdom,North Yorkshire,Compliment/Complaint Closed,22-Apr,Prosecution,BD23,27/04/2022 13:08:00,West,Security,8/6/2022 9:57,GEM:1647,CCLOSED,COMPLAINT,312,332.28,312,312
London House,2/5/2022 16:27,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Apr,Prosecution,PO30,27/04/2022 16:27:00,South,Security,29/04/2022 07:38:54,GEM:1648,WRKCOM,COMPLAINT,312,332.28,312,312
New Cut House,4/5/2022 23:59,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Prosecution,CR3,1/5/2022 20:35,South,Security,16/05/2022 14:37:00,GEM:1649,WRKCOM,COMPLAINT,312,332.28,312,312
Treasury of Atreus,12/5/2022 18:37,Closed,United Kingdom,Dorset,Work order completed with documents/costs,22-May,Prosecution,BH16,9/5/2022 18:37,West,Security,11/5/2022 11:05,GEM:1652,WRKCOM,COMPLAINT,312,332.28,312,312
The Shard,13/05/2022 03:56:00,Closed,United Kingdom,Cornwall,Work order completed with documents/costs,22-May,DoE,EX22,10/5/2022 3:56,West,Security,11/5/2022 10:10,GEM:1653,WRKCOM,COMPLAINT,312,332.28,312,312
Fresh World House,16/05/2022 15:11:00,Closed,United Kingdom,Hampshire,Compliment/Complaint Closed,22-May,Prosecution,BH23,11/5/2022 15:11,South,Security,18/07/2022 11:08:09,GEM:1655,CCLOSED,COMPLAINT,312,332.28,312,312
Listoghil,16/05/2022 16:12:00,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-May,Prosecution,BB1,11/5/2022 16:12,West,Security,13/05/2022 11:15:01,GEM:1656,WRKCOM,COMPLAINT,312,332.28,312,312
Bird Palace,20/05/2022 14:44:00,Closed,United Kingdom,Cumbria,Work order reassigned to supplier,22-May,Prosecution,CA1,17/05/2022 14:44:00,West,Security,13/07/2022 13:34:09,GEM:1659,REASSIGNED,COMPLAINT,312,332.28,312,312
Famouse House,25/05/2022 11:55:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-May,Prosecution,BD23,20/05/2022 11:55:00,West,Security,1/6/2022 11:19,GEM:1660,WRKCOM,COMPLAINT,312,332.28,312,312
Dun Carloway,25/05/2022 14:57:00,Closed,United Kingdom,Devon,Work order completed with documents/costs,22-May,Prosecution,DT7,20/05/2022 14:57:00,West,Security,24/05/2022 08:01:19,GEM:1662,WRKCOM,COMPLAINT,312,332.28,312,312
Terminator House,25/05/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-May,Prosecution,CR3,21/05/2022 18:12:00,South,Security,24/05/2022 08:01:54,GEM:1663,WRKCOM,COMPLAINT,312,332.28,312,312
Keezhadi excavation site,27/05/2022 19:22:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-May,Prosecution,CW3,24/05/2022 19:22:00,West,Security,26/05/2022 12:56:30,GEM:1666,WRKCOM,COMPLAINT,312,332.28,312,312
Dun Carloway,30/05/2022 11:07:00,Closed,United Kingdom,Devon,Work order completed with documents/costs,22-May,Prosecution,DT7,25/05/2022 11:07:00,West,Security,26/05/2022 08:27:08,GEM:1668,WRKCOM,COMPLAINT,312,332.28,312,312
Pyramid of Djoser,31/05/2022 16:18:00,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-May,Prosecution,CB1,26/05/2022 16:18:00,East,Security,26/05/2022 17:19:41,GEM:1669,WRKCOM,COMPLAINT,312,332.28,312,312
The Shard,2/6/2022 8:28,Closed,United Kingdom,Cornwall,Work order completed with documents/costs,22-May,DoE,EX22,30/05/2022 08:28:00,West,Security,31/05/2022 08:53:27,GEM:1670,WRKCOM,COMPLAINT,312,332.28,312,312
Pyramid of Djoser,2/6/2022 11:21,Closed,United Kingdom,Essex,Work order completed with documents/costs,22-May,Prosecution,CB1,30/05/2022 11:21:02,East,Security,30/05/2022 11:53:00,GEM:1671,WRKCOM,COMPLAINT,312,332.28,312,312
Rome Heights,3/6/2022 11:10,Closed,United Kingdom,Gloucestershire,Work order completed with documents/costs,22-May,MoJ,GL1,31/05/2022 11:10:00,West,Security,30/06/2022 17:16:26,GEM:1672,WRKCOM,COMPLAINT,312,332.28,312,312
Famouse House,9/6/2022 16:02,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Jun,MoJ,BD23,6/6/2022 16:02,West,Security,6/1/2023 13:06,GEM:1674,WRKCOM,COMPLAINT,312,332.28,312,312
Dolmen of Menga,10/6/2022 16:33,Closed,United Kingdom,Devon,Work order completed with documents/costs,22-Jun,Prosecution,DT7,7/6/2022 16:33,West,Security,9/6/2022 10:14,GEM:1676,WRKCOM,COMPLAINT,312,332.28,312,312
Dolmen of Menga,15/06/2022 23:59:00,Closed,United Kingdom,Devon,Work order completed with documents/costs,22-Jun,Prosecution,DT7,11/6/2022 9:38,West,Security,14/06/2022 10:08:59,GEM:1678,WRKCOM,COMPLAINT,312,332.28,312,312
Balnuaran of Clava,5/7/2022 13:19,Closed,United Kingdom,North Yorkshire,Compliment/Complaint Closed,22-Jun,DoE,BD23,30/06/2022 13:19:00,West,Security,4/7/2022 9:54,GEM:1687,CCLOSED,COMPLAINT,312,332.28,312,312
Listoghil,14/07/2022 14:20:00,Closed,United Kingdom,Lancashire,Compliment/Complaint Closed,22-Jul,MoJ,BB1,11/7/2022 14:20,West,Security,24/01/2023 09:34:57,GEM:1695,CCLOSED,COMPLAINT,312,332.28,312,312
Terminator House,15/07/2022 02:10:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Jul,MoJ,CR3,12/7/2022 2:10,South,Security,12/7/2022 12:36,GEM:1696,WRKCOM,COMPLAINT,312,332.28,312,312
Burj Khalifa,18/07/2022 13:03:00,Closed,United Kingdom,Inverness,Work order completed with documents/costs,22-Jul,MoJ,LU1,13/07/2022 13:03:00,North,Security,13/07/2022 16:53:20,GEM:1697,WRKCOM,COMPLAINT,312,332.28,312,312
New Cut House,18/07/2022 14:32:00,Closed,United Kingdom,Surrey,Compliment/Complaint Closed,22-Jul,MoJ,CR3,13/07/2022 14:32:00,South,Security,1/8/2022 12:47,GEM:1698,CCLOSED,COMPLAINT,312,332.28,312,312
Luxor Temple,20/07/2022 12:45:00,Closed,United Kingdom,Isle of Wight,Compliment/Complaint Closed,22-Jul,Border Force,PO30,15/07/2022 12:45:00,South,Security,19/07/2022 07:44:26,GEMH:296,CCLOSED,COMPLAINT,312,332.28,312,312
Bird Palace,20/07/2022 23:59:00,Closed,United Kingdom,Cumbria,Work order completed with documents/costs,22-Jul,MoJ,CA1,16/07/2022 07:58:00,West,Security,19/07/2022 10:16:56,GEM:1699,WRKCOM,COMPLAINT,312,332.28,312,312
Holiday Inn,22/07/2022 18:54:00,Closed,United Kingdom,Kent,Compliment/Complaint Closed,22-Jul,MoJ,BR6,19/07/2022 18:54:00,East,Security,3/8/2022 12:08,GEM:1701,CCLOSED,COMPLAINT,312,332.28,312,312
Holiday Inn,25/07/2022 11:07:00,Closed,United Kingdom,Kent,Work order completed with documents/costs,22-Jul,MoJ,BR6,20/07/2022 11:07:41,East,Security,28/07/2022 10:37:13,GEM:1702,WRKCOM,COMPLAINT,312,332.28,312,312
Pyramid of Unas,25/07/2022 14:59:00,Closed,United Kingdom,Glasgow,Compliment/Complaint Closed,22-Jul,Prosecution,DH1,20/07/2022 14:59:00,North,Security,22/07/2022 08:03:19,GEM:1703,CCLOSED,COMPLAINT,312,332.28,312,312
The Shard,2/8/2022 17:19,Closed,United Kingdom,Cornwall,Compliment/Complaint Closed,22-Jul,DoE,EX22,28/07/2022 17:19:00,West,Security,29/07/2022 11:03:52,GEM:1707,CCLOSED,COMPLAINT,312,332.28,312,312
Harappa,5/8/2022 9:01,Opened,United Kingdom,Greater Manchester,Work is in progress,22-Aug,Home Office,BL0,2/8/2022 9:01,West,Security,,GEM:1709,WRKINPROG,COMPLAINT,312,332.28,312,312
Merthyr Tydfil Oldway House,5/8/2022 16:56,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Aug,Home Office,CW3,2/8/2022 16:56,West,Security,4/8/2022 8:20,GEM:1711,WRKCOM,COMPLAINT,312,332.28,312,312
New Cut House,10/8/2022 23:59,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Aug,Home Office,CR3,7/8/2022 17:59,South,Security,31/08/2022 16:35:34,GEM:1713,WRKCOM,COMPLAINT,312,332.28,312,312
Fresh World House,16/08/2022 11:00:00,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Aug,Home Office,BH23,11/8/2022 11:00,South,Security,11/8/2022 12:21,GEM:1714,WRKCOM,COMPLAINT,312,332.28,312,312
Mini Lodge,16/08/2022 13:54:00,Closed,United Kingdom,Cumbria,Compliment/Complaint Closed,22-Aug,Home Office,CA1,11/8/2022 13:54,West,Security,16/08/2022 07:38:29,GEM:1716,CCLOSED,COMPLAINT,312,332.28,312,312
Newton Place,16/08/2022 15:50:00,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Aug,Home Office,BN1,11/8/2022 15:50,South,Security,12/8/2022 10:32,GEM:1717,WRKCOM,COMPLAINT,312,332.28,312,312
Red Pyramid,17/08/2022 23:59:00,Closed,United Kingdom,Gloucestershire,Compliment/Complaint Closed,22-Aug,Border Force,GL1,14/08/2022 17:41:00,West,Security,16/08/2022 08:00:55,GEMH:298,CCLOSED,COMPLAINT,312,332.28,312,312
Grey Cairns of Camster,18/08/2022 10:58:00,Closed,United Kingdom,Greater Manchester,Compliment/Complaint Closed,22-Aug,MoJ,BL0,15/08/2022 10:58:00,West,Security,17/08/2022 07:50:28,GEM:1718,CCLOSED,COMPLAINT,312,332.28,312,312
New Cut House,22/08/2022 15:13:00,Closed,United Kingdom,Surrey,Compliment/Complaint Closed,22-Aug,MoJ,CR3,17/08/2022 15:13:00,South,Security,19/08/2022 08:02:43,GEM:1719,CCLOSED,COMPLAINT,312,332.28,312,312
Pyramid of Unas,30/08/2022 14:26:00,Opened,United Kingdom,Glasgow,Delay rejected,22-Aug,Prosecution,DH1,18/08/2022 14:26:00,North,Security,,GEM:1722,DELAYNAPP,COMPLAINT,312,332.28,312,312
Temple of Garni,23/08/2022 14:43:00,Closed,United Kingdom,Dorset,Work order completed with documents/costs,22-Aug,MoJ,BH16,18/08/2022 14:43:00,West,Security,19/08/2022 11:02:00,GEM:1723,WRKCOM,COMPLAINT,312,332.28,312,312
Egypt Place,26/08/2022 08:28:00,Closed,United Kingdom,Devon,Compliment/Complaint Closed,22-Aug,Home Office,DT7,23/08/2022 08:28:00,West,Security,11/11/2022 10:17,GEMH:300,CCLOSED,COMPLAINT,312,332.28,312,312
Newton Place,30/08/2022 23:17:00,Opened,United Kingdom,East Sussex,Work is in progress,22-Aug,MoJ,BN1,25/08/2022 23:17:00,South,Security,,GEM:1724,WRKINPROG,COMPLAINT,312,332.28,312,312
Famouse House,13/09/2022 12:01:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Sep,MoJ,BD23,8/9/2022 12:01,West,Security,9/9/2022 8:28,GEM:1727,WRKCOM,COMPLAINT,312,332.28,312,312
Famouse House,13/09/2022 16:25:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Sep,MoJ,BD23,8/9/2022 16:25,West,Security,9/9/2022 13:25,GEM:1728,WRKCOM,COMPLAINT,312,332.28,312,312
Fresh World House,14/09/2022 11:02:00,Closed,United Kingdom,Hampshire,Compliment/Complaint Closed,22-Sep,MoJ,BH23,9/9/2022 11:02,South,Security,13/09/2022 08:00:57,GEM:1730,CCLOSED,COMPLAINT,312,332.28,312,312
Dolmen de Viera,14/09/2022 12:36:00,Closed,United Kingdom,Oxfordshire,Work order completed with documents/costs,22-Sep,MoJ,GL7,9/9/2022 12:36,East,Security,9/9/2022 12:50,GEM:1731,WRKCOM,COMPLAINT,312,332.28,312,312
Karnak,14/09/2022 23:19:00,Closed,United Kingdom,Kent,Compliment/Complaint Closed,22-Sep,MoJ,BR6,9/9/2022 23:19,East,Security,13/09/2022 08:01:31,GEM:1733,CCLOSED,COMPLAINT,312,332.28,312,312
Pyramid of Djoser,22/09/2022 15:21:00,Closed,United Kingdom,Essex,Compliment/Complaint Closed,22-Sep,MoJ,CB1,16/09/2022 15:21:00,East,Security,21/09/2022 07:46:21,GEM:1736,CCLOSED,COMPLAINT,312,332.28,312,312
Pyramid of Teti,4/10/2022 16:12,Closed,United Kingdom,Glasgow,Compliment/Complaint Closed,22-Sep,Home Office,DH1,29/09/2022 16:12:00,North,Security,3/10/2022 10:01,GEMH:303,CCLOSED,COMPLAINT,312,332.28,312,312
Manhattan Building,5/10/2022 22:40,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Sep,MoJ,CW3,30/09/2022 22:40:00,West,Security,3/10/2022 15:37,GEM:1740,WRKCOM,COMPLAINT,312,332.28,312,312
Fresh World House,5/10/2022 23:59,Closed,United Kingdom,Hampshire,Compliment/Complaint Closed,22-Oct,MoJ,BH23,1/10/2022 10:20,South,Security,5/10/2022 7:29,GEM:1741,CCLOSED,COMPLAINT,312,332.28,312,312
Rambo Heights,5/10/2022 23:59,Opened,United Kingdom,Somerset,Work is in progress,22-Oct,MoJ,BA3,1/10/2022 17:10,West,Security,,GEM:1742,WRKINPROG,COMPLAINT,312,332.28,312,312
Keezhadi excavation site,5/10/2022 23:59,Opened,United Kingdom,Shropshire,Work is in progress,22-Oct,MoJ,CW3,2/10/2022 17:50,West,Security,,GEM:1743,WRKINPROG,COMPLAINT,312,332.28,312,312
Hattusa,5/10/2022 23:59,Closed,United Kingdom,Shropshire,Compliment/Complaint Closed,22-Oct,MoJ,CW3,2/10/2022 20:25,West,Security,4/10/2022 6:42,GEM:1744,CCLOSED,COMPLAINT,312,332.28,312,312
Fresh World House,6/10/2022 9:52,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Oct,Prosecution,BH23,3/10/2022 9:52,South,Security,4/10/2022 10:02,GEM:1745,WRKCOM,COMPLAINT,312,332.28,312,312
Newton Place,6/10/2022 17:15,Closed,United Kingdom,East Sussex,Compliment/Complaint Closed,22-Oct,MoJ,BN1,3/10/2022 17:15,South,Security,5/10/2022 7:31,GEM:1746,CCLOSED,COMPLAINT,312,332.28,312,312
Barpa Langass,6/10/2022 18:22,Closed,United Kingdom,Middlesex,Compliment/Complaint Closed,22-Oct,MoJ,HA0,3/10/2022 18:22,North,Security,6/10/2022 8:02,GEM:1747,CCLOSED,COMPLAINT,312,332.28,312,312
Porta Nigra,18/10/2022 13:18:00,Closed,United Kingdom,Essex,Compliment/Complaint Closed,22-Oct,Home Office,CB1,13/10/2022 13:18:00,East,Security,13/10/2022 15:44:57,GEMH:304,CCLOSED,COMPLAINT,312,332.28,312,312
